,Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
0,606734f4935218ab9f94703c,forage_dynamic_simdrop,8.551640029861616,3.6741745422196344,,119.09517959661436
1,606734f4935218ab9f94703c,forage_random_baseline,0.0,0.0,,164.49484639103326
2,5ef11fdda0736031899eb5dc,forage_dynamic_simdrop,9.54244850337362,3.6428556962252574,,74.9556386366768
3,5ef11fdda0736031899eb5dc,forage_random_baseline,0.0,0.0,,104.67853861247573
4,5c3630c83ce2c8000111b504,forage_dynamic_simdrop,7.486865914241546,4.713320309470701,,164.3607611857905
5,5c3630c83ce2c8000111b504,forage_random_baseline,0.0,0.0,,224.3111541695908
6,63fba9e68d9ff349947fece5,forage_dynamic_simdrop,9.857578486169448,3.0411485187042095,,77.52108582432845
7,63fba9e68d9ff349947fece5,forage_random_baseline,0.0,0.0,,112.15557708479542
8,5efd12bb12f04114e442283c,forage_dynamic_simdrop,9.308274842924298,3.629840793316163,,103.57308842670393
9,5efd12bb12f04114e442283c,forage_random_baseline,0.0,0.0,,149.54076944639388
10,5bd8fabf544d4f000141d94d,forage_dynamic_simdrop,9.770678191533236,4.134451096996912,,91.79083373471285
11,5bd8fabf544d4f000141d94d,forage_random_baseline,0.0,0.0,,134.5866925017545
12,63b9ff9f64549294f0abe3c1,forage_dynamic_simdrop,9.080665663175827,3.169879842660622,,112.35545916636497
13,63b9ff9f64549294f0abe3c1,forage_random_baseline,0.0,0.0,,157.01780791871357
14,614f297777d0d8f5e2a5b354,forage_dynamic_simdrop,8.286950409823284,3.8762623082962,,87.95533214169888
15,614f297777d0d8f5e2a5b354,forage_random_baseline,0.0,0.0,,127.10965402943481
16,6056962634a5230dacdb63fc,forage_dynamic_simdrop,8.148111403057452,4.7056587453304655,,143.20924249027996
17,6056962634a5230dacdb63fc,forage_random_baseline,0.0,0.0,,201.88003875263172
18,640e4ddaf9f67c6c8ea4936b,forage_dynamic_simdrop,10.8285483056608,2.4679470650690716,,62.349586853850994
19,640e4ddaf9f67c6c8ea4936b,forage_random_baseline,0.0,0.0,,89.72446166783635
20,606609111ba10f35596db018,forage_dynamic_simdrop,8.103492135628002,3.49614572810903,,122.9771934022597
21,606609111ba10f35596db018,forage_random_baseline,0.0,0.0,,164.49484639103326
22,5e2d96d3bc554937d1b3917a,forage_dynamic_simdrop,7.786733513810074,4.0650814251541165,,117.53925607044926
23,5e2d96d3bc554937d1b3917a,forage_random_baseline,0.0,0.0,,164.49484639103326
24,58b2338a898c2e0001a5ca56,forage_dynamic_simdrop,7.286709476724919,2.8763407511845935,,116.0037668020937
25,58b2338a898c2e0001a5ca56,forage_random_baseline,0.0,0.0,,142.0637309740742
26,5ba176b4f7e29100014449e2,forage_dynamic_simdrop,8.24602134206473,4.491764135111095,,146.63563111439845
27,5ba176b4f7e29100014449e2,forage_random_baseline,0.0,0.0,,209.3570772249514
28,5b342c9da2982a0001dd9f25,forage_dynamic_simdrop,6.622860056517388,4.024290921963595,,122.02217535619808
29,5b342c9da2982a0001dd9f25,forage_random_baseline,0.0,0.0,,157.01780791871357
30,6081ca47eeed1bb51c1d7f7b,forage_dynamic_simdrop,8.804151548779114,5.28889553515782,,89.68804074395148
31,6081ca47eeed1bb51c1d7f7b,forage_random_baseline,0.0,0.0,,134.5866925017545
32,5be1ca6d91deed00015a986c,forage_dynamic_simdrop,12.152744753396139,2.4116657020411765,,64.96850819035576
33,5be1ca6d91deed00015a986c,forage_random_baseline,0.0,0.0,,97.20150014015604
34,6332517a492e9ac48804f991,forage_dynamic_simdrop,10.958049016928378,3.352959465099417,,60.964677968080565
35,6332517a492e9ac48804f991,forage_random_baseline,0.0,0.0,,89.72446166783635
36,645abc0f7fa6368e6df2d973,forage_dynamic_simdrop,9.401204223491781,2.8830192101769962,,78.19486287843054
37,645abc0f7fa6368e6df2d973,forage_random_baseline,0.0,0.0,,104.67853861247573
38,62cba72839d35cbf953cdd6f,forage_dynamic_simdrop,8.117012863764074,4.619072381930228,,91.60858850118696
39,62cba72839d35cbf953cdd6f,forage_random_baseline,0.0,0.0,,134.5866925017545
40,5f402eb4fbd8df145068b8055f402eb4fbd8df145068b805,forage_dynamic_simdrop,9.042553680286504,3.786121580822666,,155.42442951544606
41,5f402eb4fbd8df145068b8055f402eb4fbd8df145068b805,forage_random_baseline,0.0,0.0,,224.3111541695908
42,5e36f211c5175f000b4038e9,forage_dynamic_simdrop,5.59983977658258,4.393078761872728,,117.97908367686671
43,5e36f211c5175f000b4038e9,forage_random_baseline,0.0,0.0,,149.54076944639388
44,62fcf3d9948e4a6a9623cce8,forage_dynamic_simdrop,8.785439094613665,3.8907210067304248,,114.89960749356564
45,62fcf3d9948e4a6a9623cce8,forage_random_baseline,0.0,0.0,,164.49484639103326
46,63bcbf7e0ac7e876387ef720,forage_dynamic_simdrop,10.07078248044052,4.0489348799920535,,108.90639357126616
47,63bcbf7e0ac7e876387ef720,forage_random_baseline,0.0,0.0,,171.97188486335295
48,63bf3247bf3b5ebd734157ee,forage_dynamic_simdrop,4.878945763322642,4.466476907950711,,125.63771882610476
49,63bf3247bf3b5ebd734157ee,forage_random_baseline,0.0,0.0,,149.54076944639388
50,60eb1a7c95641da67ae7d611,forage_dynamic_simdrop,10.189534567353538,1.1620084716553598,,22.179045063045763
51,60eb1a7c95641da67ae7d611,forage_random_baseline,0.0,0.0,,29.908153889278786
52,5d321a7348bf98001646aeb2,forage_dynamic_simdrop,8.271683295383998,2.9266352866064906,,35.258522766955764
