"subject_id"	"words"
"5825dc1f7fcbaa000134776e"	"frog"
"5825dc1f7fcbaa000134776e"	"bear"
"5825dc1f7fcbaa000134776e"	"lion"
"5825dc1f7fcbaa000134776e"	"fox"
"5825dc1f7fcbaa000134776e"	"beaver"
"5825dc1f7fcbaa000134776e"	"elephant"
"5825dc1f7fcbaa000134776e"	"ox"
"5825dc1f7fcbaa000134776e"	"horse"
"5825dc1f7fcbaa000134776e"	"coyote"
"58b2338a898c2e0001a5ca56"	"dog"
"58b2338a898c2e0001a5ca56"	"cat"
"58b2338a898c2e0001a5ca56"	"horse"
"58b2338a898c2e0001a5ca56"	"snake"
"58b2338a898c2e0001a5ca56"	"cow"
"58b2338a898c2e0001a5ca56"	"bird"
"58b2338a898c2e0001a5ca56"	"redtailedhawk"
"58b2338a898c2e0001a5ca56"	"buzzard"
"58b2338a898c2e0001a5ca56"	"anteater"
"58b2338a898c2e0001a5ca56"	"lion"
"58b2338a898c2e0001a5ca56"	"griffon"
"58b2338a898c2e0001a5ca56"	"gyphon"
"58b2338a898c2e0001a5ca56"	"cloudedtiger"
"58b2338a898c2e0001a5ca56"	"pig"
"58b2338a898c2e0001a5ca56"	"chicken"
"58b2338a898c2e0001a5ca56"	"panther"
"58b2338a898c2e0001a5ca56"	"puma"
"58b2338a898c2e0001a5ca56"	"mountainlion"
"58b2338a898c2e0001a5ca56"	"mouse"
"58b2338a898c2e0001a5ca56"	"squirrel"
"58b2338a898c2e0001a5ca56"	"ant"
"58b2338a898c2e0001a5ca56"	"bee"
"58b2338a898c2e0001a5ca56"	"otter"
"58b2338a898c2e0001a5ca56"	"puma"
"58b2338a898c2e0001a5ca56"	"mountainlion"
"58b2338a898c2e0001a5ca56"	"cat"
"58b2338a898c2e0001a5ca56"	"mouse"
"58b2338a898c2e0001a5ca56"	"gerbil"
"58b2338a898c2e0001a5ca56"	"hamster"
"58b2338a898c2e0001a5ca56"	"snake"
"58b2338a898c2e0001a5ca56"	"turtle"
"58b2338a898c2e0001a5ca56"	"horse"
"58b2338a898c2e0001a5ca56"	"muskrat"
"58b2338a898c2e0001a5ca56"	"dog"
"58b2338a898c2e0001a5ca56"	"bird"
"58b2338a898c2e0001a5ca56"	"redtailedhawk"
"58b2338a898c2e0001a5ca56"	"owl"
"58b2338a898c2e0001a5ca56"	"coyote"
"58b2338a898c2e0001a5ca56"	"wolf"
"58b2338a898c2e0001a5ca56"	"pig"
"58b2338a898c2e0001a5ca56"	"mole"
"58b2338a898c2e0001a5ca56"	"otter"
"58b2338a898c2e0001a5ca56"	"peccary"
"58b2338a898c2e0001a5ca56"	"boar"
"58b2338a898c2e0001a5ca56"	"cougar"
"5928b05e590f0b000126edb8"	"dog"
"5928b05e590f0b000126edb8"	"cat"
"5928b05e590f0b000126edb8"	"eagle"
"5928b05e590f0b000126edb8"	"giraffe"
"5928b05e590f0b000126edb8"	"whale"
"5928b05e590f0b000126edb8"	"octopus"
"5928b05e590f0b000126edb8"	"lion"
"5928b05e590f0b000126edb8"	"tiger"
"5928b05e590f0b000126edb8"	"elephant"
"5928b05e590f0b000126edb8"	"monkey"
"5928b05e590f0b000126edb8"	"baboon"
"5928b05e590f0b000126edb8"	"gorilla"
"5928b05e590f0b000126edb8"	"snake"
"5928b05e590f0b000126edb8"	"squirrel"
"5928b05e590f0b000126edb8"	"gopher"
"5928b05e590f0b000126edb8"	"gecko"
"5928b05e590f0b000126edb8"	"frog"
"5928b05e590f0b000126edb8"	"toad"
"5928b05e590f0b000126edb8"	"turtle"
"5928b05e590f0b000126edb8"	"tortoise"
"5928b05e590f0b000126edb8"	"lemur"
"5928b05e590f0b000126edb8"	"leopard"
"5928b05e590f0b000126edb8"	"pelican"
"5928b05e590f0b000126edb8"	"warthog"
"5928b05e590f0b000126edb8"	"pig"
"5928b05e590f0b000126edb8"	"cow"
"5928b05e590f0b000126edb8"	"chicken"
"5928b05e590f0b000126edb8"	"rooster"
"5928b05e590f0b000126edb8"	"goat"
"5928b05e590f0b000126edb8"	"hyena"
"5928b05e590f0b000126edb8"	"coyote"
"5928b05e590f0b000126edb8"	"bird"
"5928b05e590f0b000126edb8"	"dog"
"5928b05e590f0b000126edb8"	"cat"
"5928b05e590f0b000126edb8"	"tiger"
"5928b05e590f0b000126edb8"	"lion"
"5928b05e590f0b000126edb8"	"elephant"
"5928b05e590f0b000126edb8"	"frog"
"5928b05e590f0b000126edb8"	"toad"
"5928b05e590f0b000126edb8"	"giraffe"
"5928b05e590f0b000126edb8"	"whale"
"5928b05e590f0b000126edb8"	"hippopotamus"
"5928b05e590f0b000126edb8"	"platypus"
"5928b05e590f0b000126edb8"	"snake"
"5928b05e590f0b000126edb8"	"bear"
"5928b05e590f0b000126edb8"	"moose"
"5928b05e590f0b000126edb8"	"gorilla"
"5928b05e590f0b000126edb8"	"monkey"
"5928b05e590f0b000126edb8"	"baboon"
"5928b05e590f0b000126edb8"	"lemur"
"5928b05e590f0b000126edb8"	"leopard"
"5928b05e590f0b000126edb8"	"mongoose"
"5928b05e590f0b000126edb8"	"warthog"
"5928b05e590f0b000126edb8"	"pig"
"5928b05e590f0b000126edb8"	"pelican"
"5994ce3dc825cf0001d7dd2d"	"aardvard"
"5994ce3dc825cf0001d7dd2d"	"bird"
"5994ce3dc825cf0001d7dd2d"	"cat"
"5994ce3dc825cf0001d7dd2d"	"dog"
"5994ce3dc825cf0001d7dd2d"	"elephant"
"5994ce3dc825cf0001d7dd2d"	"fox"
"5994ce3dc825cf0001d7dd2d"	"giraffe"
"5994ce3dc825cf0001d7dd2d"	"kitten"
"5994ce3dc825cf0001d7dd2d"	"lemur"
"5994ce3dc825cf0001d7dd2d"	"monkey"
"5994ce3dc825cf0001d7dd2d"	"swan"
"5994ce3dc825cf0001d7dd2d"	"lion"
"5994ce3dc825cf0001d7dd2d"	"manx"
"5994ce3dc825cf0001d7dd2d"	"rat"
"5994ce3dc825cf0001d7dd2d"	"aardvark"
"5994ce3dc825cf0001d7dd2d"	"baboon"
"5994ce3dc825cf0001d7dd2d"	"cat"
"5994ce3dc825cf0001d7dd2d"	"dog"
"5994ce3dc825cf0001d7dd2d"	"elephant"
"5994ce3dc825cf0001d7dd2d"	"fawn"
"5994ce3dc825cf0001d7dd2d"	"giraffe"
"5994ce3dc825cf0001d7dd2d"	"hippopotamus"
"5994ce3dc825cf0001d7dd2d"	"iguana"
"5994ce3dc825cf0001d7dd2d"	"jackal"
"5994ce3dc825cf0001d7dd2d"	"kitten"
"5994ce3dc825cf0001d7dd2d"	"lion"
"5994ce3dc825cf0001d7dd2d"	"manx"
"5994ce3dc825cf0001d7dd2d"	"tiger"
"5994ce3dc825cf0001d7dd2d"	"walrus"
"5994ce3dc825cf0001d7dd2d"	"bird"
"599ec7dc617ca80001fcd124"	"bear"
"599ec7dc617ca80001fcd124"	"cat"
"599ec7dc617ca80001fcd124"	"dog"
"599ec7dc617ca80001fcd124"	"elephant"
"599ec7dc617ca80001fcd124"	"lion"
"599ec7dc617ca80001fcd124"	"tiger"
"599ec7dc617ca80001fcd124"	"giraffe"
"599ec7dc617ca80001fcd124"	"cow"
"599ec7dc617ca80001fcd124"	"aardvark"
"599ec7dc617ca80001fcd124"	"cat"
"599ec7dc617ca80001fcd124"	"bear"
"599ec7dc617ca80001fcd124"	"bull"
"599ec7dc617ca80001fcd124"	"dog"
"599ec7dc617ca80001fcd124"	"elephant"
"599ec7dc617ca80001fcd124"	"giraffe"
"599ec7dc617ca80001fcd124"	"hippopotamus"
"599ec7dc617ca80001fcd124"	"iguana"
"599ec7dc617ca80001fcd124"	"kangaroo"
"599ec7dc617ca80001fcd124"	"lion"
"599ec7dc617ca80001fcd124"	"deer"
"599ec7dc617ca80001fcd124"	"camel"
"599ec7dc617ca80001fcd124"	"llama"
"599ec7dc617ca80001fcd124"	"bison"
"59c65eb83306be000195bb01"	"bear"
"59c65eb83306be000195bb01"	"ant"
"59c65eb83306be000195bb01"	"spider"
"59c65eb83306be000195bb01"	"crow"
"59c65eb83306be000195bb01"	"eagle"
"59c65eb83306be000195bb01"	"hawk"
"59c65eb83306be000195bb01"	"grackle"
"59c65eb83306be000195bb01"	"anteater"
"59c65eb83306be000195bb01"	"lion"
"59c65eb83306be000195bb01"	"tiger"
"59c65eb83306be000195bb01"	"mouse"
"59c65eb83306be000195bb01"	"moose"
"59c65eb83306be000195bb01"	"dog"
"59c65eb83306be000195bb01"	"fisher"
"59c65eb83306be000195bb01"	"kingfisher"
"59c65eb83306be000195bb01"	"goat"
"59c65eb83306be000195bb01"	"bear"
"59c65eb83306be000195bb01"	"cat"
"59c65eb83306be000195bb01"	"dog"
"59c65eb83306be000195bb01"	"fox"
"59c65eb83306be000195bb01"	"wolf"
"59c65eb83306be000195bb01"	"snake"
"59c65eb83306be000195bb01"	"alligator"
"59c65eb83306be000195bb01"	"rabbit"
"59c65eb83306be000195bb01"	"robin"
"59c65eb83306be000195bb01"	"bat"
"59c65eb83306be000195bb01"	"ox"
"59c65eb83306be000195bb01"	"cow"
"59c65eb83306be000195bb01"	"horse"
"59c65eb83306be000195bb01"	"mouse"
"59c65eb83306be000195bb01"	"moose"
"59c65eb83306be000195bb01"	"deer"
"59c65eb83306be000195bb01"	"rat"
"59c65eb83306be000195bb01"	"worm"
"59c65eb83306be000195bb01"	"flea"
"59c65eb83306be000195bb01"	"gerbil"
"59d75f1b8fd07a0001841feb"	"raccoon"
"59d75f1b8fd07a0001841feb"	"rat"
"59d75f1b8fd07a0001841feb"	"mouse"
"59d75f1b8fd07a0001841feb"	"cat"
"59d75f1b8fd07a0001841feb"	"dog"
"59d75f1b8fd07a0001841feb"	"ferret"
"59d75f1b8fd07a0001841feb"	"elephant"
"59d75f1b8fd07a0001841feb"	"giraffe"
"59d75f1b8fd07a0001841feb"	"tiger"
"59d75f1b8fd07a0001841feb"	"lion"
"59d75f1b8fd07a0001841feb"	"bear"
"59d75f1b8fd07a0001841feb"	"opossum"
"59d75f1b8fd07a0001841feb"	"bat"
"59d75f1b8fd07a0001841feb"	"anteater"
"59d75f1b8fd07a0001841feb"	"skunk"
"59d75f1b8fd07a0001841feb"	"mole"
"59d75f1b8fd07a0001841feb"	"shrew"
"59d75f1b8fd07a0001841feb"	"vole"
"59d75f1b8fd07a0001841feb"	"wombat"
"59d75f1b8fd07a0001841feb"	"hippopotamus"
"59d75f1b8fd07a0001841feb"	"rhinoceros"
"59d75f1b8fd07a0001841feb"	"snake"
"59d75f1b8fd07a0001841feb"	"worm"
"59d75f1b8fd07a0001841feb"	"dolphin"
"59d75f1b8fd07a0001841feb"	"porpoise"
"59d75f1b8fd07a0001841feb"	"whale"
"59d75f1b8fd07a0001841feb"	"salamander"
"59d75f1b8fd07a0001841feb"	"crawfish"
"59d75f1b8fd07a0001841feb"	"anteater"
"59d75f1b8fd07a0001841feb"	"raccoon"
"59d75f1b8fd07a0001841feb"	"squirrel"
"59d75f1b8fd07a0001841feb"	"rabbit"
"59d75f1b8fd07a0001841feb"	"wolf"
"59d75f1b8fd07a0001841feb"	"dog"
"59d75f1b8fd07a0001841feb"	"cat"
"59d75f1b8fd07a0001841feb"	"opossum"
"59d75f1b8fd07a0001841feb"	"tiger"
"59d75f1b8fd07a0001841feb"	"lion"
"59d75f1b8fd07a0001841feb"	"bear"
"59d75f1b8fd07a0001841feb"	"giraffe"
"59d75f1b8fd07a0001841feb"	"elephant"
"59d75f1b8fd07a0001841feb"	"monkey"
"59d75f1b8fd07a0001841feb"	"ape"
"59d75f1b8fd07a0001841feb"	"mole"
"59d75f1b8fd07a0001841feb"	"shrew"
"59d75f1b8fd07a0001841feb"	"vole"
"59d75f1b8fd07a0001841feb"	"bat"
"59d75f1b8fd07a0001841feb"	"mongoose"
"59d75f1b8fd07a0001841feb"	"rat"
"59d75f1b8fd07a0001841feb"	"mouse"
"59d75f1b8fd07a0001841feb"	"kangaroo"
"59d75f1b8fd07a0001841feb"	"whale"
"59d75f1b8fd07a0001841feb"	"dolphin"
"59d75f1b8fd07a0001841feb"	"porpoise"
"5a0efb83ab721b0001ef8509"	"cat"
"5a0efb83ab721b0001ef8509"	"dog"
"5a0efb83ab721b0001ef8509"	"squirrel"
"5a0efb83ab721b0001ef8509"	"bird"
"5a0efb83ab721b0001ef8509"	"fish"
"5a0efb83ab721b0001ef8509"	"turtle"
"5a0efb83ab721b0001ef8509"	"snake"
"5a0efb83ab721b0001ef8509"	"bat"
"5a0efb83ab721b0001ef8509"	"bear"
"5a0efb83ab721b0001ef8509"	"moose"
"5a0efb83ab721b0001ef8509"	"deer"
"5a0efb83ab721b0001ef8509"	"raccoon"
"5a0efb83ab721b0001ef8509"	"human"
"5a0efb83ab721b0001ef8509"	"rat"
"5a0efb83ab721b0001ef8509"	"ant"
"5a0efb83ab721b0001ef8509"	"wasp"
"5a0efb83ab721b0001ef8509"	"mosquito"
"5a0efb83ab721b0001ef8509"	"elephant"
"5a0efb83ab721b0001ef8509"	"cow"
"5a0efb83ab721b0001ef8509"	"lizard"
"5a0efb83ab721b0001ef8509"	"cat"
"5a0efb83ab721b0001ef8509"	"dog"
"5a0efb83ab721b0001ef8509"	"bird"
"5a0efb83ab721b0001ef8509"	"reptile"
"5a0efb83ab721b0001ef8509"	"giraffe"
"5a0efb83ab721b0001ef8509"	"monkey"
"5a0efb83ab721b0001ef8509"	"human"
"5a0efb83ab721b0001ef8509"	"snail"
"5a0efb83ab721b0001ef8509"	"fish"
"5a0efb83ab721b0001ef8509"	"octopus"
"5a0efb83ab721b0001ef8509"	"clam"
"5a0efb83ab721b0001ef8509"	"lobster"
"5a0efb83ab721b0001ef8509"	"insect"
"5a0efb83ab721b0001ef8509"	"spider"
"5a0efb83ab721b0001ef8509"	"leech"
"5a94d24fb5e2110001c689b5"	"giraffe"
"5a94d24fb5e2110001c689b5"	"elk"
"5a94d24fb5e2110001c689b5"	"deer"
"5a94d24fb5e2110001c689b5"	"cat"
"5a94d24fb5e2110001c689b5"	"dog"
"5a94d24fb5e2110001c689b5"	"rabbit"
"5a94d24fb5e2110001c689b5"	"bird"
"5a94d24fb5e2110001c689b5"	"groundhog"
"5a94d24fb5e2110001c689b5"	"ferret"
"5a94d24fb5e2110001c689b5"	"cow"
"5a94d24fb5e2110001c689b5"	"horse"
"5a94d24fb5e2110001c689b5"	"mule"
"5a94d24fb5e2110001c689b5"	"zebra"
"5a94d24fb5e2110001c689b5"	"monkey"
"5a94d24fb5e2110001c689b5"	"ape"
"5a94d24fb5e2110001c689b5"	"alligator"
"5a94d24fb5e2110001c689b5"	"hippopotamus"
"5a94d24fb5e2110001c689b5"	"elephant"
"5a94d24fb5e2110001c689b5"	"cat"
"5a94d24fb5e2110001c689b5"	"dog"
"5a94d24fb5e2110001c689b5"	"elephant"
"5a94d24fb5e2110001c689b5"	"lion"
"5a94d24fb5e2110001c689b5"	"tiger"
"5a94d24fb5e2110001c689b5"	"bear"
"5a94d24fb5e2110001c689b5"	"frog"
"5a94d24fb5e2110001c689b5"	"lizard"
"5a94d24fb5e2110001c689b5"	"moose"
"5a94d24fb5e2110001c689b5"	"elk"
"5a94d24fb5e2110001c689b5"	"deer"
"5a94d24fb5e2110001c689b5"	"rabbit"
"5a94d24fb5e2110001c689b5"	"pig"
"5a94d24fb5e2110001c689b5"	"mouse"
"5a94d24fb5e2110001c689b5"	"groundhog"
"5a94d24fb5e2110001c689b5"	"beaver"
"5a94d24fb5e2110001c689b5"	"ferret"
"5a94d24fb5e2110001c689b5"	"antelope"
"5a94d24fb5e2110001c689b5"	"goat"
"5a94d24fb5e2110001c689b5"	"giraffe"
"5a9b1eb7873cda0001dcb3c4"	"ostrich"
"5a9b1eb7873cda0001dcb3c4"	"cat"
"5a9b1eb7873cda0001dcb3c4"	"dog"
"5a9b1eb7873cda0001dcb3c4"	"elephant"
"5a9b1eb7873cda0001dcb3c4"	"tiger"
"5a9b1eb7873cda0001dcb3c4"	"lion"
"5a9b1eb7873cda0001dcb3c4"	"cheetah"
"5a9b1eb7873cda0001dcb3c4"	"bird"
"5a9b1eb7873cda0001dcb3c4"	"iguana"
"5a9b1eb7873cda0001dcb3c4"	"snake"
"5a9b1eb7873cda0001dcb3c4"	"rabbit"
"5a9b1eb7873cda0001dcb3c4"	"gerbil"
"5a9b1eb7873cda0001dcb3c4"	"giraffe"
"5a9b1eb7873cda0001dcb3c4"	"duck"
"5a9b1eb7873cda0001dcb3c4"	"goose"
"5a9b1eb7873cda0001dcb3c4"	"squirrel"
"5a9b1eb7873cda0001dcb3c4"	"hen"
"5a9b1eb7873cda0001dcb3c4"	"stork"
"5a9b1eb7873cda0001dcb3c4"	"flamingo"
"5a9b1eb7873cda0001dcb3c4"	"cat"
"5a9b1eb7873cda0001dcb3c4"	"dog"
"5a9b1eb7873cda0001dcb3c4"	"elephant"
"5a9b1eb7873cda0001dcb3c4"	"alligator"
"5a9b1eb7873cda0001dcb3c4"	"crocodile"
"5a9b1eb7873cda0001dcb3c4"	"bird"
"5a9b1eb7873cda0001dcb3c4"	"ostrich"
"5a9b1eb7873cda0001dcb3c4"	"tiger"
"5a9b1eb7873cda0001dcb3c4"	"lion"
"5a9b1eb7873cda0001dcb3c4"	"cheetah"
"5a9b1eb7873cda0001dcb3c4"	"monkey"
"5a9b1eb7873cda0001dcb3c4"	"bat"
"5a9b1eb7873cda0001dcb3c4"	"horse"
"5a9b1eb7873cda0001dcb3c4"	"cow"
"5a9b1eb7873cda0001dcb3c4"	"pig"
"5a9b1eb7873cda0001dcb3c4"	"llama"
"5a9b1eb7873cda0001dcb3c4"	"chicken"
"5a9b1eb7873cda0001dcb3c4"	"duck"
"5a9b1eb7873cda0001dcb3c4"	"squirrel"
"5a9b1eb7873cda0001dcb3c4"	"iguana"
"5a9b1eb7873cda0001dcb3c4"	"hen"
"5add6b6aeb60400001536f2c"	"dog"
"5add6b6aeb60400001536f2c"	"cat"
"5add6b6aeb60400001536f2c"	"parrot"
"5add6b6aeb60400001536f2c"	"rabbit"
"5add6b6aeb60400001536f2c"	"squirrel"
"5add6b6aeb60400001536f2c"	"moose"
"5add6b6aeb60400001536f2c"	"snake"
"5add6b6aeb60400001536f2c"	"guineapig"
"5add6b6aeb60400001536f2c"	"salamander"
"5add6b6aeb60400001536f2c"	"ferret"
"5add6b6aeb60400001536f2c"	"platypus"
"5add6b6aeb60400001536f2c"	"monkey"
"5add6b6aeb60400001536f2c"	"camel"
"5add6b6aeb60400001536f2c"	"dromedary"
"5add6b6aeb60400001536f2c"	"bird"
"5add6b6aeb60400001536f2c"	"eagle"
"5add6b6aeb60400001536f2c"	"lizard"
"5add6b6aeb60400001536f2c"	"dog"
"5add6b6aeb60400001536f2c"	"cat"
"5add6b6aeb60400001536f2c"	"aardvark"
"5add6b6aeb60400001536f2c"	"jackal"
"5add6b6aeb60400001536f2c"	"rabbit"
"5add6b6aeb60400001536f2c"	"guineapig"
"5add6b6aeb60400001536f2c"	"bison"
"5add6b6aeb60400001536f2c"	"cow"
"5add6b6aeb60400001536f2c"	"horse"
"5add6b6aeb60400001536f2c"	"elephant"
"5add6b6aeb60400001536f2c"	"eagle"
"5add6b6aeb60400001536f2c"	"ferret"
"5add6b6aeb60400001536f2c"	"parrot"
"5add6b6aeb60400001536f2c"	"cockatoo"
"5add6b6aeb60400001536f2c"	"cockatiel"
"5add6b6aeb60400001536f2c"	"snake"
"5add6b6aeb60400001536f2c"	"salamander"
"5add6b6aeb60400001536f2c"	"ape"
"5b342c9da2982a0001dd9f25"	"aardvark"
"5b342c9da2982a0001dd9f25"	"raccoon"
"5b342c9da2982a0001dd9f25"	"opossum"
"5b342c9da2982a0001dd9f25"	"cow"
"5b342c9da2982a0001dd9f25"	"dog"
"5b342c9da2982a0001dd9f25"	"cat"
"5b342c9da2982a0001dd9f25"	"human"
"5b342c9da2982a0001dd9f25"	"monkey"
"5b342c9da2982a0001dd9f25"	"ape"
"5b342c9da2982a0001dd9f25"	"giraffe"
"5b342c9da2982a0001dd9f25"	"elephant"
"5b342c9da2982a0001dd9f25"	"cheetah"
"5b342c9da2982a0001dd9f25"	"lion"
"5b342c9da2982a0001dd9f25"	"tiger"
"5b342c9da2982a0001dd9f25"	"leopard"
"5b342c9da2982a0001dd9f25"	"bobcat"
"5b342c9da2982a0001dd9f25"	"elk"
"5b342c9da2982a0001dd9f25"	"deer"
"5b342c9da2982a0001dd9f25"	"horse"
"5b342c9da2982a0001dd9f25"	"goat"
"5b342c9da2982a0001dd9f25"	"chicken"
"5b342c9da2982a0001dd9f25"	"mink"
"5b342c9da2982a0001dd9f25"	"chinchilla"
"5b342c9da2982a0001dd9f25"	"otter"
"5b342c9da2982a0001dd9f25"	"whale"
"5b342c9da2982a0001dd9f25"	"dolphin"
"5b342c9da2982a0001dd9f25"	"dog"
"5b342c9da2982a0001dd9f25"	"cat"
"5b342c9da2982a0001dd9f25"	"parrot"
"5b342c9da2982a0001dd9f25"	"cheetah"
"5b342c9da2982a0001dd9f25"	"cockatiel"
"5b342c9da2982a0001dd9f25"	"whale"
"5b342c9da2982a0001dd9f25"	"dolphin"
"5b342c9da2982a0001dd9f25"	"shark"
"5b342c9da2982a0001dd9f25"	"orca"
"5b342c9da2982a0001dd9f25"	"giraffe"
"5b342c9da2982a0001dd9f25"	"lion"
"5b342c9da2982a0001dd9f25"	"tiger"
"5b342c9da2982a0001dd9f25"	"elk"
