id,listnum,item,gender,age,condition,itemnum,time,starttime,age_group,rt,perseveration
5484655ffdf99b07b28f22cc,1,frog,M,75,Immediate,1,1684169446042,1684169439669,old,6373,0
5484655ffdf99b07b28f22cc,1,cow,M,75,Immediate,2,1684169448241,1684169439669,old,2199,0
5484655ffdf99b07b28f22cc,1,horse,M,75,Immediate,3,1684169450791,1684169439669,old,2550,0
5484655ffdf99b07b28f22cc,1,giraffe,M,75,Immediate,4,1684169454392,1684169439669,old,3601,0
5484655ffdf99b07b28f22cc,1,elephant,M,75,Immediate,5,1684169457393,1684169439669,old,3001,0
5484655ffdf99b07b28f22cc,1,lion,M,75,Immediate,6,1684169458972,1684169439669,old,1579,0
5484655ffdf99b07b28f22cc,1,tiger,M,75,Immediate,7,1684169460972,1684169439669,old,2000,0
5484655ffdf99b07b28f22cc,1,leopard,M,75,Immediate,8,1684169466032,1684169439669,old,5060,0
5484655ffdf99b07b28f22cc,1,dog,M,75,Immediate,9,1684169469292,1684169439669,old,3260,0
5484655ffdf99b07b28f22cc,1,cat,M,75,Immediate,10,1684169471752,1684169439669,old,2460,0
5484655ffdf99b07b28f22cc,1,robin,M,75,Immediate,11,1684169473932,1684169439669,old,2180,0
5484655ffdf99b07b28f22cc,1,sparrow,M,75,Immediate,12,1684169476672,1684169439669,old,2740,0
5484655ffdf99b07b28f22cc,1,mouse,M,75,Immediate,13,1684169483312,1684169439669,old,6640,0
5484655ffdf99b07b28f22cc,1,rat,M,75,Immediate,14,1684169487072,1684169439669,old,3760,0
5484655ffdf99b07b28f22cc,1,snake,M,75,Immediate,15,1684169490172,1684169439669,old,3100,0
5484655ffdf99b07b28f22cc,1,rattlesnake,M,75,Immediate,16,1684169494922,1684169439669,old,4750,0
5484655ffdf99b07b28f22cc,1,vulture,M,75,Immediate,17,1684169512382,1684169439669,old,17460,0
5484655ffdf99b07b28f22cc,1,egret,M,75,Immediate,18,1684169515432,1684169439669,old,3050,0
5484655ffdf99b07b28f22cc,1,heron,M,75,Immediate,19,1684169519112,1684169439669,old,3680,0
