id	entry
59c65eb83306be000195bb01	hawk
59c65eb83306be000195bb01	grackle
59c65eb83306be000195bb01	anteater
59c65eb83306be000195bb01	lion
59c65eb83306be000195bb01	tiger
59c65eb83306be000195bb01	mouse
59c65eb83306be000195bb01	moose
59c65eb83306be000195bb01	dog
59c65eb83306be000195bb01	fisher
59c65eb83306be000195bb01	kingfisher
59c65eb83306be000195bb01	goat
59c65eb83306be000195bb01	goat
59d75f1b8fd07a0001841feb	raccoon
59d75f1b8fd07a0001841feb	rat
59d75f1b8fd07a0001841feb	mouse
59d75f1b8fd07a0001841feb	cat
59d75f1b8fd07a0001841feb	dog
59d75f1b8fd07a0001841feb	ferret
59d75f1b8fd07a0001841feb	elephant
59d75f1b8fd07a0001841feb	giraffe
59d75f1b8fd07a0001841feb	tiger
59d75f1b8fd07a0001841feb	lion
59d75f1b8fd07a0001841feb	bear
59d75f1b8fd07a0001841feb	opossum
59d75f1b8fd07a0001841feb	bat
59d75f1b8fd07a0001841feb	anteater
59d75f1b8fd07a0001841feb	skunk
59d75f1b8fd07a0001841feb	mole
59d75f1b8fd07a0001841feb	shrew
59d75f1b8fd07a0001841feb	vole
59d75f1b8fd07a0001841feb	mouse
59d75f1b8fd07a0001841feb	wombat
59d75f1b8fd07a0001841feb	hippopotamus
59d75f1b8fd07a0001841feb	rhinoceros
59d75f1b8fd07a0001841feb	snake
59d75f1b8fd07a0001841feb	worm
59d75f1b8fd07a0001841feb	dolphin
59d75f1b8fd07a0001841feb	porpoise
59d75f1b8fd07a0001841feb	whale
59d75f1b8fd07a0001841feb	salamander
59d75f1b8fd07a0001841feb	crawfish
5a0efb83ab721b0001ef8509	cat
5a0efb83ab721b0001ef8509	dog
5a0efb83ab721b0001ef8509	squirrel
5a0efb83ab721b0001ef8509	bird
5a0efb83ab721b0001ef8509	fish
5a0efb83ab721b0001ef8509	turtle
5a0efb83ab721b0001ef8509	snake
5a0efb83ab721b0001ef8509	bat
5a0efb83ab721b0001ef8509	bear
5a0efb83ab721b0001ef8509	moose
5a0efb83ab721b0001ef8509	deer
5a0efb83ab721b0001ef8509	raccoon
5a0efb83ab721b0001ef8509	human
5a0efb83ab721b0001ef8509	rat
5a0efb83ab721b0001ef8509	ant
5a0efb83ab721b0001ef8509	wasp
5a0efb83ab721b0001ef8509	mosquito
5a0efb83ab721b0001ef8509	elephant
5a0efb83ab721b0001ef8509	dog
5a0efb83ab721b0001ef8509	cow
5a0efb83ab721b0001ef8509	lizard
5a94d24fb5e2110001c689b5	giraffe
5a94d24fb5e2110001c689b5	elk
5a94d24fb5e2110001c689b5	deer
5a94d24fb5e2110001c689b5	cat
5a94d24fb5e2110001c689b5	dog
5a94d24fb5e2110001c689b5	rabbit
5a94d24fb5e2110001c689b5	bird
5a94d24fb5e2110001c689b5	groundhog
5a94d24fb5e2110001c689b5	ferret
5a94d24fb5e2110001c689b5	cow
5a94d24fb5e2110001c689b5	horse
5a94d24fb5e2110001c689b5	mule
5a94d24fb5e2110001c689b5	zebra
5a94d24fb5e2110001c689b5	monkey
5a94d24fb5e2110001c689b5	ape
5a94d24fb5e2110001c689b5	alligator
5a94d24fb5e2110001c689b5	hippopotamus
5a94d24fb5e2110001c689b5	elephant
5a9b1eb7873cda0001dcb3c4	ostrich
5a9b1eb7873cda0001dcb3c4	cat
5a9b1eb7873cda0001dcb3c4	dog
5a9b1eb7873cda0001dcb3c4	elephant
5a9b1eb7873cda0001dcb3c4	tiger
5a9b1eb7873cda0001dcb3c4	lion
5a9b1eb7873cda0001dcb3c4	cheetah
5a9b1eb7873cda0001dcb3c4	bird
5a9b1eb7873cda0001dcb3c4	iguana
5a9b1eb7873cda0001dcb3c4	snake
5a9b1eb7873cda0001dcb3c4	rabbit
5a9b1eb7873cda0001dcb3c4	gerbil
5a9b1eb7873cda0001dcb3c4	giraffe
5a9b1eb7873cda0001dcb3c4	duck
5a9b1eb7873cda0001dcb3c4	goose
5a9b1eb7873cda0001dcb3c4	squirrel
5a9b1eb7873cda0001dcb3c4	stork
5a9b1eb7873cda0001dcb3c4	flamingo
5add6b6aeb60400001536f2c	dog
5add6b6aeb60400001536f2c	cat
5add6b6aeb60400001536f2c	parrot
5add6b6aeb60400001536f2c	rabbit
5add6b6aeb60400001536f2c	squirrel
5add6b6aeb60400001536f2c	moose
5add6b6aeb60400001536f2c	rabbit
5add6b6aeb60400001536f2c	snake
5add6b6aeb60400001536f2c	guineapig
5add6b6aeb60400001536f2c	salamander
5add6b6aeb60400001536f2c	ferret
5add6b6aeb60400001536f2c	platypus
5add6b6aeb60400001536f2c	monkey
5add6b6aeb60400001536f2c	camel
5add6b6aeb60400001536f2c	dromedary
5add6b6aeb60400001536f2c	bird
5add6b6aeb60400001536f2c	eagle
5add6b6aeb60400001536f2c	lizard
5b33a01fa8327d0001003821	cat
5b33a01fa8327d0001003821	dog
5b33a01fa8327d0001003821	fish
5b33a01fa8327d0001003821	frog
5b33a01fa8327d0001003821	mouse
5b33a01fa8327d0001003821	elephant
5b33a01fa8327d0001003821	monkey
5b33a01fa8327d0001003821	gorilla
5b33a01fa8327d0001003821	lion
5b33a01fa8327d0001003821	tiger
5b33a01fa8327d0001003821	bear
5b33a01fa8327d0001003821	horse
5b33a01fa8327d0001003821	donkey
5b33a01fa8327d0001003821	giraffe
5b33a01fa8327d0001003821	camel
5b33a01fa8327d0001003821	oxen
5b33a01fa8327d0001003821	pig
5b33a01fa8327d0001003821	sheep
5b33a01fa8327d0001003821	gerbil
5b33a01fa8327d0001003821	bird
5b33a01fa8327d0001003821	alligator
5b33a01fa8327d0001003821	ant
5b342c9da2982a0001dd9f25	dog
5b342c9da2982a0001dd9f25	cat
5b342c9da2982a0001dd9f25	parrot
5b342c9da2982a0001dd9f25	cheetah
5b342c9da2982a0001dd9f25	cockatiel
5b342c9da2982a0001dd9f25	whale
5b342c9da2982a0001dd9f25	whale
5b342c9da2982a0001dd9f25	dolphin
5b342c9da2982a0001dd9f25	shark
5b342c9da2982a0001dd9f25	orca
5b342c9da2982a0001dd9f25	giraffe
5b342c9da2982a0001dd9f25	lion
5b342c9da2982a0001dd9f25	tiger
5b342c9da2982a0001dd9f25	elk
5b342c9da2982a0001dd9f25	wombat
5b342c9da2982a0001dd9f25	groundhog
5b342c9da2982a0001dd9f25	raccoon
5b342c9da2982a0001dd9f25	opossum
5b342c9da2982a0001dd9f25	deer
5b342c9da2982a0001dd9f25	coyote
