id,listnum,num_cluster_switches,avg_cluster_size
5484655ffdf99b07b28f22cc,1,7,2.625
5484655ffdf99b07b28f22cc,2,11,1.6666666666666667
56802e5fc5767f00121cc6a0,1,13,1.4285714285714286
56802e5fc5767f00121cc6a0,2,10,1.5454545454545454
57ac740478a38d00017cce22,1,9,2.2
57ac740478a38d00017cce22,2,8,1.7777777777777777
5825dc1f7fcbaa000134776e,1,7,1.5
5825dc1f7fcbaa000134776e,2,8,1.4444444444444444
58b2338a898c2e0001a5ca56,1,10,1.8181818181818181
58b2338a898c2e0001a5ca56,2,13,1.5714285714285714
5928b05e590f0b000126edb8,1,12,1.8461538461538463
5928b05e590f0b000126edb8,2,12,2.3846153846153846
5994ce3dc825cf0001d7dd2d,1,11,1.3333333333333333
5994ce3dc825cf0001d7dd2d,2,10,1.2727272727272727
599ec7dc617ca80001fcd124,1,3,2.0
599ec7dc617ca80001fcd124,2,11,1.25
59c65eb83306be000195bb01,1,12,1.5384615384615385
59c65eb83306be000195bb01,2,11,1.3333333333333333
59d75f1b8fd07a0001841feb,1,11,2.1666666666666665
59d75f1b8fd07a0001841feb,2,12,2.1538461538461537
5a0efb83ab721b0001ef8509,1,7,1.875
5a0efb83ab721b0001ef8509,2,11,1.6666666666666667
5a94d24fb5e2110001c689b5,1,10,1.8181818181818181
5a94d24fb5e2110001c689b5,2,7,2.25
5a9b1eb7873cda0001dcb3c4,1,9,2.0
5a9b1eb7873cda0001dcb3c4,2,10,1.6363636363636365
5add6b6aeb60400001536f2c,1,9,1.8
5add6b6aeb60400001536f2c,2,8,1.8888888888888888
5b33a01fa8327d0001003821,1,3,2.5
5b33a01fa8327d0001003821,2,12,1.6923076923076923
5b342c9da2982a0001dd9f25,1,8,2.888888888888889
5b342c9da2982a0001dd9f25,2,10,2.0
5ba176b4f7e29100014449e2,1,17,1.7777777777777777
5ba176b4f7e29100014449e2,2,11,2.4166666666666665
5bb7716f0b651100015c927f,1,15,1.875
5bb7716f0b651100015c927f,2,18,1.9473684210526316
5bd8fabf544d4f000141d94d,1,9,1.5
5bd8fabf544d4f000141d94d,2,6,2.5714285714285716
5bd9dc9abf1a7800011db1f1,1,12,1.3846153846153846
5bd9dc9abf1a7800011db1f1,2,11,1.75
5be1ca6d91deed00015a986c,1,7,1.375
5be1ca6d91deed00015a986c,2,8,1.4444444444444444
5be781ca3b047e0001a39e47,1,9,2.2
5be781ca3b047e0001a39e47,2,7,2.625
5bef317a2d982b0001059f44,1,13,1.5
5bef317a2d982b0001059f44,2,9,1.7
5c01dc58067bbf00019bb318,1,8,2.6666666666666665
5c01dc58067bbf00019bb318,2,7,2.5
5c1021a547d07800011a23de,1,11,1.6666666666666667
5c1021a547d07800011a23de,2,10,1.7272727272727273
5c17a9fbfeaf2c0001c4b19a,1,4,1.2
5c17a9fbfeaf2c0001c4b19a,2,9,1.2
5c2e2fa00b8ad80001aebf07,1,15,1.75
5c2e2fa00b8ad80001aebf07,2,14,2.2
5c3630c83ce2c8000111b504,1,14,2.066666666666667
5c3630c83ce2c8000111b504,2,8,3.3333333333333335
5c38f43bb594c40001212d39,1,7,1.75
5c38f43bb594c40001212d39,2,9,2.0
5c83394a3e93bf0001e143d6,1,11,3.1666666666666665
5c83394a3e93bf0001e143d6,2,22,1.826086956521739
5ca60cd95a6f9a0015b2d034,1,8,1.2222222222222223
5ca60cd95a6f9a0015b2d034,2,7,1.625
5cab69f77ea4a700019a87dc,1,10,1.6363636363636365
5cab69f77ea4a700019a87dc,2,11,2.0
5d0e7ce13fe2d0001999c056,1,17,1.6666666666666667
5d0e7ce13fe2d0001999c056,2,10,2.4545454545454546
5d321a7348bf98001646aeb2,1,4,2.6
5d321a7348bf98001646aeb2,2,3,1.75
5d63275f9b22da000117b107,1,9,1.9
5d63275f9b22da000117b107,2,10,2.0
5dd1919051c6d2208e27fbc1,1,2,2.3333333333333335
5dd1919051c6d2208e27fbc1,2,6,1.2857142857142858
5dd405ab80123f3eaae9af80,1,14,1.8
5dd405ab80123f3eaae9af80,2,16,1.7058823529411764
5dda993086c886a06ce9108d,1,10,2.090909090909091
5dda993086c886a06ce9108d,2,13,1.6428571428571428
5de5538f8fde1c4dbc951498,1,10,1.7272727272727273
5de5538f8fde1c4dbc951498,2,9,1.8
5e1fc8d45427912f6143b012,1,7,3.25
5e1fc8d45427912f6143b012,2,9,2.7
