,Subject,Model,Beta_Frequency,Beta_Semantic,Beta_Phonological,Negative_Log_Likelihood_Optimized
0,606734f4935218ab9f94703c,forage_dynamic_simdrop,9.138519054644902,3.852819597938397,,107.58094879086194
1,606734f4935218ab9f94703c,forage_random_baseline,0.0,0.0,,164.49484639103326
2,5ef11fdda0736031899eb5dc,forage_dynamic_simdrop,10.43921741801876,4.113949224905188,,91.11385527641607
3,5ef11fdda0736031899eb5dc,forage_random_baseline,0.0,0.0,,142.0637309740742
4,5c3630c83ce2c8000111b504,forage_dynamic_simdrop,7.258575802464546,4.397636762255199,,161.05039513369942
5,5c3630c83ce2c8000111b504,forage_random_baseline,0.0,0.0,,216.8341156972711
6,63fba9e68d9ff349947fece5,forage_dynamic_simdrop,9.111962805088437,3.5232265122153588,,63.205893072199046
7,63fba9e68d9ff349947fece5,forage_random_baseline,0.0,0.0,,89.72446166783635
8,5efd12bb12f04114e442283c,forage_dynamic_simdrop,10.936592482895621,3.4934824016952994,,81.03046885013684
9,5efd12bb12f04114e442283c,forage_random_baseline,0.0,0.0,,127.10965402943481
10,5bd8fabf544d4f000141d94d,forage_dynamic_simdrop,9.213048303178443,3.2873015076222645,,80.6115288420892
11,5bd8fabf544d4f000141d94d,forage_random_baseline,0.0,0.0,,112.15557708479542
12,63b9ff9f64549294f0abe3c1,forage_dynamic_simdrop,10.89934283729602,2.681027968877763,,109.21531240957763
13,63b9ff9f64549294f0abe3c1,forage_random_baseline,0.0,0.0,,157.01780791871357
14,614f297777d0d8f5e2a5b354,forage_dynamic_simdrop,10.121859850723926,3.0235308351695336,,69.25581377686821
15,614f297777d0d8f5e2a5b354,forage_random_baseline,0.0,0.0,,97.20150014015604
16,6056962634a5230dacdb63fc,forage_dynamic_simdrop,8.236154835767067,3.511862817258338,,118.43575308868289
17,6056962634a5230dacdb63fc,forage_random_baseline,0.0,0.0,,157.01780791871357
18,640e4ddaf9f67c6c8ea4936b,forage_dynamic_simdrop,12.200130509439662,4.196325846588316,,58.81305803127157
19,640e4ddaf9f67c6c8ea4936b,forage_random_baseline,0.0,0.0,,97.20150014015604
20,606609111ba10f35596db018,forage_dynamic_simdrop,7.926841360962517,4.7176579703607295,,119.45071392898272
21,606609111ba10f35596db018,forage_random_baseline,0.0,0.0,,164.49484639103326
22,5e2d96d3bc554937d1b3917a,forage_dynamic_simdrop,9.740477533555723,4.822118032474041,,82.15356601080806
23,5e2d96d3bc554937d1b3917a,forage_random_baseline,0.0,0.0,,127.10965402943481
24,58b2338a898c2e0001a5ca56,forage_dynamic_simdrop,7.178382485401958,2.8471973327266573,,54.60908643984496
25,58b2338a898c2e0001a5ca56,forage_random_baseline,0.0,0.0,,67.29334625087728
26,5ba176b4f7e29100014449e2,forage_dynamic_simdrop,7.59057483002498,4.295391510779254,,161.44515391963924
27,5ba176b4f7e29100014449e2,forage_random_baseline,0.0,0.0,,224.3111541695908
28,5b342c9da2982a0001dd9f25,forage_dynamic_simdrop,7.732156869159345,4.389036121792316,,134.90667026954196
29,5b342c9da2982a0001dd9f25,forage_random_baseline,0.0,0.0,,194.40300028031203
30,6081ca47eeed1bb51c1d7f7b,forage_dynamic_simdrop,8.147032429701813,4.538010375084803,,88.15859487565818
31,6081ca47eeed1bb51c1d7f7b,forage_random_baseline,0.0,0.0,,119.63261555711512
32,5be1ca6d91deed00015a986c,forage_dynamic_simdrop,12.1958133042154,3.1654342415117926,,53.00667259639235
33,5be1ca6d91deed00015a986c,forage_random_baseline,0.0,0.0,,82.24742319551666
34,6332517a492e9ac48804f991,forage_dynamic_simdrop,9.558200678123253,3.51887861370208,,79.36899946695377
35,6332517a492e9ac48804f991,forage_random_baseline,0.0,0.0,,112.15557708479542
36,645abc0f7fa6368e6df2d973,forage_dynamic_simdrop,10.10728167559224,3.395535781860313,,87.8768347560663
37,645abc0f7fa6368e6df2d973,forage_random_baseline,0.0,0.0,,127.10965402943481
38,62cba72839d35cbf953cdd6f,forage_dynamic_simdrop,6.129999388440012,4.895913764354976,,70.56731077625145
39,62cba72839d35cbf953cdd6f,forage_random_baseline,0.0,0.0,,97.20150014015604
40,5f402eb4fbd8df145068b8055f402eb4fbd8df145068b805,forage_dynamic_simdrop,8.670493591942611,4.4933419663065255,,175.59916919550685
41,5f402eb4fbd8df145068b8055f402eb4fbd8df145068b805,forage_random_baseline,0.0,0.0,,254.21930805886956
42,5e36f211c5175f000b4038e9,forage_dynamic_simdrop,6.751180552253475,3.6150145396154203,,104.62864971823436
43,5e36f211c5175f000b4038e9,forage_random_baseline,0.0,0.0,,134.5866925017545
44,62fcf3d9948e4a6a9623cce8,forage_dynamic_simdrop,7.3890799231954905,4.624877919647529,,120.51625288018923
45,62fcf3d9948e4a6a9623cce8,forage_random_baseline,0.0,0.0,,171.97188486335295
46,63bcbf7e0ac7e876387ef720,forage_dynamic_simdrop,10.411305631733033,4.6232832091879565,,100.84728659943306
47,63bcbf7e0ac7e876387ef720,forage_random_baseline,0.0,0.0,,164.49484639103326
48,63bf3247bf3b5ebd734157ee,forage_dynamic_simdrop,8.092448448950089,3.750571831538706,,172.60159173892185
49,63bf3247bf3b5ebd734157ee,forage_random_baseline,0.0,0.0,,239.26523111423018
50,60eb1a7c95641da67ae7d611,forage_dynamic_simdrop,6.5690050525700965,5.839875407802062,,57.24474968775499
51,60eb1a7c95641da67ae7d611,forage_random_baseline,0.0,0.0,,82.24742319551666
52,5d321a7348bf98001646aeb2,forage_dynamic_simdrop,8.478049291485723,3.5353229033330287,,71.39938595337131
